Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.310929536819458,-589.87,5.27,13.03,8.07,20.84,20.17
0.41141581535339355,-4765.89,61.17,11.14,3.37,7.14,6.57
0.545764684677124,2696.66,72.4,12.98,3.23,3.53,2.97
0.6453285217285156,-545.85,74.13,11.59,4.73,3.23,2.39
1.2189583778381348,50.5,67.36,19.98,6.03,2.75,1.52
1.318427324295044,-216.96,40.28,50.73,4.52,1.5,1.11
1.4370853900909424,625.75,28.35,59.47,5.57,2.85,1.31
1.7363381385803223,5003.14,86.83,11.3,0.93,0.43,0.18
1.9871163368225098,-524.13,68.53,28.36,1.65,0.96,0.22
2.097684383392334,1829.78,58.3,34.63,4.38,1.59,0.47
2.209519624710083,1491.79,59.13,35.9,3.34,0.91,0.26
2.3182590007781982,-3053.58,75.93,20.95,1.67,0.97,0.18
2.4281089305877686,-1523.06,64.4,30.98,2.84,1.42,0.23
2.541327953338623,-2622.27,62.65,27.24,6.75,2.56,0.44
2.6502368450164795,-3087.9,81.55,15.12,1.9,0.9,0.28
2.7606987953186035,2685.1,75.05,16.51,5.47,2.21,0.4
2.872849702835083,-2490.68,56.27,33.0,7.13,2.86,0.41
2.982849359512329,4408.04,75.88,16.64,5.18,1.8,0.29
3.0923070907592773,-823.38,68.45,18.44,9.42,2.38,0.58
3.202630043029785,1717.21,52.88,41.75,3.07,1.06,0.33
3.314558982849121,-653.14,29.13,24.46,6.75,23.64,11.25
3.423403263092041,-608.85,24.27,17.93,5.54,27.14,17.06
3.534099817276001,195.12,20.45,14.82,6.6,18.97,23.91
3.644402503967285,-8330.15,44.35,43.73,4.25,2.64,3.05
3.756727457046509,-2145.14,11.81,56.51,15.17,8.91,5.43
3.866189956665039,8343.68,30.13,42.95,14.01,7.77,3.23
3.976454734802246,1998.09,30.83,38.97,13.33,9.34,5.19
4.086126804351807,1835.06,32.58,32.59,13.07,11.02,6.59
4.41657829284668,1976.36,6.64,20.13,32.16,24.2,11.87
4.967228889465332,4445.95,15.86,27.11,25.81,16.61,10.4
5.408771991729736,608.61,14.13,24.01,23.25,17.56,11.13
5.944532632827759,-1171.8,31.44,29.67,11.59,6.63,4.72
6.385799407958984,-5035.84,40.62,19.63,7.1,6.18,9.61
6.934303045272827,6597.61,50.15,24.35,6.32,6.69,6.5
7.374598979949951,-1703.37,16.84,6.95,11.07,37.34,22.2
7.9256205558776855,-965.27,4.51,1.66,5.46,62.26,19.85
8.365875005722046,3914.88,5.27,1.17,6.28,52.33,26.69
8.916715383529663,799.37,4.8,3.56,10.41,49.47,24.32
9.468651533126831,-733.46,3.79,5.56,11.51,49.46,22.16
9.909546136856079,267.78,5.43,10.98,9.55,48.9,18.41
10.445075511932373,-831.09,4.4,9.47,9.88,41.31,26.99
10.886538028717041,326.92,5.7,19.28,16.33,32.41,17.82
11.435864448547363,1231.7,7.74,15.56,14.93,30.92,22.75
11.877476215362549,-494.47,4.88,14.47,11.6,37.37,21.56
12.412882328033447,-2397.59,12.06,27.88,28.37,16.95,10.86
13.168026208877563,133.6,9.42,22.14,22.92,27.05,12.13
